TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Attraction,Shaw Millenium Park,1220 9 AV SW,DNW,-114.090927339045,51.0463376166241,"(51.0463376166241, -114.090927339045)"
Attraction,Devonian Gardens -  The CORE Shopping Centre,317 7 AV SW,DNC,-114.069058699527,51.0465346795119,"(51.0465346795119, -114.069058699527)"
Attraction,TELUS Spark  Centre,220 ST GEORGES DR NE,REN,-114.024584666074,51.053840244229,"(51.053840244229, -114.024584666074)"
Attraction,Bow Habitat Station,1440 17A ST SE,ING,-114.017658425294,51.0419867277258,"(51.0419867277258, -114.017658425294)"
Attraction,Calgary Stampeders Football - McMahon Stadium,1817 Crowchild TR NW,UOC,-114.118207930079,51.070405019435,"(51.070405019435, -114.118207930079)"
Library,Quarry Park Library,108 Quarry Park RD SE,DDG,-114.006059420568,50.961587776673,"(50.961587776673, -114.006059420568)"
Community Centre,Highwood Community Centre,16 Harlow AV NW,HIW,-114.077351219788,51.0908118530671,"(51.0908118530671, -114.077351219788)"
Community Centre,Inglewood Community Centre,1740 24 AV SE,ING,-114.019517502184,51.0325181524392,"(51.0325181524392, -114.019517502184)"
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK,-114.150752866175,51.0427976493023,"(51.0427976493023, -114.150752866175)"
Court,Alberta Provincial Court (Traffic),# 203-S 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Court,Alberta Provincial Court (Civil),# 606-S 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Community Centre,Beddington Heights Community Centre,375 Bermuda DR NW,BED,-114.085172476751,51.1316434849805,"(51.1316434849805, -114.085172476751)"
Community Centre,Capitol Hill Community Centre,1531 21 AV NW,CAP,-114.096458624868,51.0712756627003,"(51.0712756627003, -114.096458624868)"
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD,-114.150880148745,51.0518863503765,"(51.0518863503765, -114.150880148745)"
Community Centre,Cliffe Bungalow/Mission Community Association,2201 Cliff ST SW,CLI,-114.076084582419,51.0333614300102,"(51.0333614300102, -114.076084582419)"
Community Centre,St. Andrews Heights Community Centre,2504 13 AV NW,STA,-114.121360970423,51.0640409871189,"(51.0640409871189, -114.121360970423)"
Community Centre,Westgate Community Centre,4943 8 AV SW,WGT,-114.157897343932,51.0446330725315,"(51.0446330725315, -114.157897343932)"
Community Centre,Monterey Park Community Centre,2707 Catalina BV NE,MOR,-113.930884670166,51.0763542527811,"(51.0763542527811, -113.930884670166)"
Community Centre,Mount Pleasant Community Centre,,MOP,-114.074335626666,51.0727585637151,"(51.0727585637151, -114.074335626666)"
Community Centre,Beltline Victoria and Connaught Community Centre,1302 6 ST SE,BLN,-114.047957658382,51.0399966214606,"(51.0399966214606, -114.047957658382)"
Community Centre,Spruce Cliff Community Centre,3375 Spruce DR SW,SPR,-114.136329892108,51.0475037446284,"(51.0475037446284, -114.136329892108)"
Library,Sage Hill Library,19 SAGE HILL PS NW,SGH,-114.147102869025,51.1689113472161,"(51.1689113472161, -114.147102869025)"
